----,
DateTime:,      2022/05/09, 23:30:04, 1652164203,
PIF:,             48.98,
PARs:,        0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,       0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Lamps:,    #01000,
Gain:,           1,    5, 
S/N Ratio:,   122.11,
Position:,    0.0,        0.0,   NoData,
Cycles:,        2,
     1,        99,        100,        227,
   228,      3226,       3227,       3354,
DataPt,  Time(us),         EX,         EM,       Fit,
==========,==========,==========,==========,=========,
  580,   233865.8,    187.767,      96.503,
  581,   233905.8,    187.766,      97.575,
  582,   233945.8,    187.816,      97.192,
  583,   233985.8,    187.828,      97.889,
  584,   234025.8,    187.816,      98.760,
  585,   234065.8,    187.828,      98.177,
  586,   234105.8,    187.764,      98.738,
  587,   234145.8,    187.765,      98.917,
  588,   234185.8,    187.790,      99.459,
  589,   234225.8,    187.853,      98.914,
  590,   234265.8,    187.751,      98.886,
  591,   234305.8,    187.762,      97.285,
  592,   234345.8,    187.799,      96.547,
  593,   234385.8,    187.838,      97.587,
  594,   234425.8,    187.811,      99.477,
  595,   234465.8,    187.773,      98.597,
  596,   234505.8,    187.811,      98.055,
  597,   234545.8,    187.775,      97.181,
  598,   234585.8,    187.751,      97.592,
  599,   234625.8,    187.749,      97.358,
  600,   234665.8,    187.812,      99.139,
  601,   234705.8,    187.787,      99.696,
  602,   234745.8,    187.764,      98.655,
  603,   234785.8,    187.841,      99.253,
